data,symbol,open,close,high,low,volume
1599523200,ADA_USDT,0.093585,0.091033,0.096856,0.088431,5136102.57
1599609600,ADA_USDT,0.091033,0.093268,0.09576,0.089204,3661943.51
1599696000,ADA_USDT,0.093268,0.097051,0.099435,0.093167,3671616.22
1599782400,ADA_USDT,0.097051,0.096931,0.097526,0.093072,5807117.51
1599868800,ADA_USDT,0.096931,0.097651,0.098378,0.094437,4461754.8
1599955200,ADA_USDT,0.097651,0.094952,0.099689,0.092525,7518876.91
1600041600,ADA_USDT,0.094952,0.096608,0.097778,0.092962,5694572.27
1600128000,ADA_USDT,0.096608,0.093097,0.097967,0.084706,5145344.01
1600214400,ADA_USDT,0.093097,0.091418,0.09326,0.089593,4307149.72
1600300800,ADA_USDT,0.091418,0.094078,0.094567,0.090825,2827643.43
1600387200,ADA_USDT,0.094078,0.091027,0.094078,0.089679,2520350.18
1600473600,ADA_USDT,0.091027,0.091471,0.093165,0.090417,2152207.69
1600560000,ADA_USDT,0.091471,0.089262,0.09217,0.087607,2443512.47
1600646400,ADA_USDT,0.089262,0.079701,0.09011,0.077119,9025166.84
1600732800,ADA_USDT,0.079701,0.081498,0.083307,0.079216,7124339.93
1600819200,ADA_USDT,0.081498,0.076567,0.082786,0.075542,8280679.23
1600905600,ADA_USDT,0.076567,0.082555,0.083672,0.075601,8959718.16
1600992000,ADA_USDT,0.082555,0.096895,0.098549,0.0823,1.12E+07
1601078400,ADA_USDT,0.096895,0.095426,0.099777,0.092356,8867025.05
1601164800,ADA_USDT,0.095426,0.101251,0.102635,0.094214,9813527.32
1601251200,ADA_USDT,0.101251,0.100342,0.106552,0.099742,1.00E+07
1601337600,ADA_USDT,0.100342,0.10114,0.103477,0.09739,8499506.73
1601424000,ADA_USDT,0.10114,0.10136,0.101636,0.096709,6605266.42
1601510400,ADA_USDT,0.10136,0.098006,0.104532,0.095103,5086639.9
1601596800,ADA_USDT,0.098006,0.092804,0.100227,0.089903,6252135.07
1601683200,ADA_USDT,0.092804,0.093323,0.095237,0.09212,3982349.64
1601769600,ADA_USDT,0.093323,0.096783,0.098003,0.092111,4293778.43
1601856000,ADA_USDT,0.096783,0.097411,0.099403,0.095888,4270706.28
1601942400,ADA_USDT,0.097411,0.092859,0.098567,0.091466,5346472.94
1602028800,ADA_USDT,0.092859,0.093745,0.094432,0.089382,4829077.94
1602115200,ADA_USDT,0.093745,0.09623,0.097218,0.089895,4982704.15
1602201600,ADA_USDT,0.09623,0.101362,0.102574,0.094905,4540583.98
1602288000,ADA_USDT,0.101362,0.104876,0.111157,0.101362,5799626.18
1602374400,ADA_USDT,0.104876,0.106496,0.108926,0.104217,5350091.08
1602460800,ADA_USDT,0.106496,0.10948,0.113272,0.102215,5228339.92
1602547200,ADA_USDT,0.10948,0.109296,0.114167,0.107691,6191119.24
1602633600,ADA_USDT,0.109296,0.107034,0.112321,0.105193,7155398.84
1602720000,ADA_USDT,0.107034,0.106629,0.107653,0.104576,5331453.12
1602806400,ADA_USDT,0.106629,0.104116,0.10729,0.102346,5627608.58
1602892800,ADA_USDT,0.104116,0.105911,0.10723,0.103149,4169536.32
1602979200,ADA_USDT,0.105911,0.107314,0.107574,0.105058,3163244.73
1603065600,ADA_USDT,0.107314,0.108604,0.111008,0.106038,4490243.6
1603152000,ADA_USDT,0.108604,0.102239,0.108763,0.100722,5410065.04
1603238400,ADA_USDT,0.102239,0.105952,0.108481,0.10139,6592578.77
1603324800,ADA_USDT,0.105952,0.110782,0.112679,0.105181,5377278.84
1603411200,ADA_USDT,0.110782,0.108029,0.112146,0.10518,5781170.9
1603497600,ADA_USDT,0.108029,0.107937,0.109801,0.107315,4344261.64
1603584000,ADA_USDT,0.107937,0.106352,0.108717,0.1049,4231810.61
1603670400,ADA_USDT,0.106352,0.103006,0.107501,0.099031,5897258.66
1603756800,ADA_USDT,0.103006,0.102499,0.105603,0.101776,5810969.96
1603843200,ADA_USDT,0.102499,0.098732,0.103218,0.095292,1.01E+07
1603929600,ADA_USDT,0.098732,0.09536,0.10069,0.094828,7384017.96
1604016000,ADA_USDT,0.09536,0.093189,0.0956,0.089532,9939805.92
1604102400,ADA_USDT,0.093189,0.092913,0.095399,0.092055,5961802.13
1604188800,ADA_USDT,0.092913,0.098164,0.098586,0.092477,4337362.03
1604275200,ADA_USDT,0.098164,0.09222,0.099919,0.091528,6121758.26
1604361600,ADA_USDT,0.09222,0.093476,0.094059,0.088063,8140100.94
1604448000,ADA_USDT,0.093476,0.095379,0.096196,0.091559,8357154.14
1604534400,ADA_USDT,0.095379,0.097458,0.097997,0.09203,8079496.55
1604620800,ADA_USDT,0.097458,0.109015,0.109925,0.097008,1.77E+07
1604707200,ADA_USDT,0.109015,0.10121,0.113712,0.098776,3.19E+07
1604793600,ADA_USDT,0.10121,0.106457,0.108224,0.099765,1.24E+07
1604880000,ADA_USDT,0.106457,0.105494,0.107883,0.101261,1.42E+07
1604966400,ADA_USDT,0.105494,0.105851,0.109055,0.103599,9617216.15
1605052800,ADA_USDT,0.105851,0.105935,0.108809,0.10539,6640458.14
1605139200,ADA_USDT,0.105935,0.104553,0.106585,0.102512,5218704.56
